time,contract,open,high,low,close,volume,delta
2010-12-27,201101,8866,8918,8832,8884,82833,0
2010-12-28,201101,8900,8906,8830,8878,82934,0
2010-12-29,201101,8860,8895,8842,8872,81842,0
2010-12-30,201101,8879,8918,8865,8906,82835,0
2010-12-31,201101,8892,8997,8892,8988,88690,0
2011-01-03,201101,9000,9030,8995,9020,61366,0
2011-01-04,201101,9030,9030,8974,8978,62448,0
2011-01-05,201101,8967,9005,8791,8838,165831,0
2011-01-06,201101,8859,8876,8815,8869,82510,0
2011-01-07,201101,8866,8883,8727,8753,128752,0
2011-01-10,201101,8753,8799,8735,8786,68286,0
2011-01-11,201101,8779,8950,8760,8942,131182,0
2011-01-12,201101,8960,9003,8945,8967,82510,0
2011-01-13,201101,8998,9017,8916,8969,107227,0
2011-01-14,201101,8965,8981,8931,8970,67139,0
2011-01-17,201101,8993,9002,8914,8922,93861,0
2011-01-18,201101,8920,9012,8871,8972,103387,0
2011-01-19,201101,8988,9085,8984,9083,59708,-37
2011-01-20,201102,9018,9032,8996,9009,64787,0
2011-01-21,201102,8970,8975,8858,8907,139564,0
2011-01-24,201102,8923,8956,8910,8947,72356,0
2011-01-25,201102,8994,9029,8965,8966,80880,0
2011-01-26,201102,8970,9073,8970,9052,94343,0
2011-01-27,201102,9086,9126,9068,9105,83534,0
2011-01-28,201102,9112,9140,9094,9138,64216,0
2011-02-08,201102,9186,9196,9062,9099,98754,0
2011-02-09,201102,9071,9109,8975,9016,128818,0
2011-02-10,201102,8971,8983,8817,8824,139784,0
2011-02-11,201102,8818,8827,8523,8563,194117,0
2011-02-14,201102,8625,8693,8601,8641,97013,0
2011-02-15,201102,8625,8733,8531,8696,126055,0
2011-02-16,201102,8718,8757,8695,8719,57818,-62
2011-02-17,201103,8651,8675,8589,8629,119729,0
2011-02-18,201103,8678,8845,8675,8808,119059,0
2011-02-21,201103,8814,8815,8732,8809,83847,0
2011-02-22,201103,8713,8722,8562,8616,144975,0
2011-02-23,201103,8588,8637,8480,8522,139573,0
2011-02-24,201103,8502,8610,8502,8531,118501,0
2011-02-25,201103,8560,8630,8433,8615,185984,0
2011-03-01,201103,8695,8710,8634,8691,84818,0
2011-03-02,201103,8610,8674,8582,8602,126553,0
